001  00001 |Loss: 0.706 | Acc: 46.000% 
001  00002 |Loss: 0.803 | Acc: 52.000% 
001  00003 |Loss: 0.866 | Acc: 53.000% 
001  00004 |Loss: 0.893 | Acc: 53.000% 
001  00005 |Loss: 0.940 | Acc: 52.000% 
001  00006 |Loss: 1.086 | Acc: 52.000% 
001  00007 |Loss: 1.059 | Acc: 52.000% 
001  00008 |Loss: 1.140 | Acc: 51.000% 
001  00009 |Loss: 1.185 | Acc: 50.000% 
001  00010 |Loss: 1.152 | Acc: 50.000% 
001  00011 |Loss: 1.146 | Acc: 50.000% 
001  00012 |Loss: 1.115 | Acc: 49.000% 
001  00013 |Loss: 1.102 | Acc: 50.000% 
001  00014 |Loss: 1.073 | Acc: 50.000% 
001  00015 |Loss: 1.046 | Acc: 50.000% 
001  00016 |Loss: 1.029 | Acc: 51.000% 
001  00017 |Loss: 1.008 | Acc: 51.000% 
001  00018 |Loss: 1.004 | Acc: 51.000% 
002  00019 |Loss: 0.685 | Acc: 65.000% 
002  00020 |Loss: 0.674 | Acc: 59.000% 
002  00021 |Loss: 0.693 | Acc: 55.000% 
002  00022 |Loss: 0.717 | Acc: 53.000% 
002  00023 |Loss: 0.708 | Acc: 54.000% 
002  00024 |Loss: 0.698 | Acc: 55.000% 
002  00025 |Loss: 0.754 | Acc: 54.000% 
002  00026 |Loss: 0.740 | Acc: 54.000% 
002  00027 |Loss: 0.745 | Acc: 54.000% 
002  00028 |Loss: 0.753 | Acc: 53.000% 
002  00029 |Loss: 0.749 | Acc: 53.000% 
002  00030 |Loss: 0.742 | Acc: 54.000% 
002  00031 |Loss: 0.738 | Acc: 53.000% 
002  00032 |Loss: 0.737 | Acc: 53.000% 
002  00033 |Loss: 0.736 | Acc: 53.000% 
002  00034 |Loss: 0.733 | Acc: 53.000% 
002  00035 |Loss: 0.727 | Acc: 54.000% 
002  00036 |Loss: 0.724 | Acc: 54.000% 
003  00037 |Loss: 0.722 | Acc: 56.000% 
003  00038 |Loss: 0.741 | Acc: 60.000% 
003  00039 |Loss: 0.713 | Acc: 60.000% 
003  00040 |Loss: 0.718 | Acc: 56.000% 
003  00041 |Loss: 0.714 | Acc: 55.000% 
003  00042 |Loss: 0.714 | Acc: 54.000% 
003  00043 |Loss: 0.701 | Acc: 56.000% 
003  00044 |Loss: 0.694 | Acc: 56.000% 
003  00045 |Loss: 0.699 | Acc: 56.000% 
003  00046 |Loss: 0.705 | Acc: 56.000% 
003  00047 |Loss: 0.705 | Acc: 55.000% 
003  00048 |Loss: 0.703 | Acc: 54.000% 
003  00049 |Loss: 0.702 | Acc: 55.000% 
003  00050 |Loss: 0.705 | Acc: 54.000% 
003  00051 |Loss: 0.708 | Acc: 55.000% 
003  00052 |Loss: 0.706 | Acc: 55.000% 
003  00053 |Loss: 0.701 | Acc: 55.000% 
003  00054 |Loss: 0.698 | Acc: 55.000% 
004  00055 |Loss: 0.663 | Acc: 54.000% 
004  00056 |Loss: 0.655 | Acc: 56.000% 
004  00057 |Loss: 0.660 | Acc: 57.000% 
004  00058 |Loss: 0.645 | Acc: 59.000% 
004  00059 |Loss: 0.655 | Acc: 60.000% 
004  00060 |Loss: 0.652 | Acc: 60.000% 
004  00061 |Loss: 0.649 | Acc: 61.000% 
004  00062 |Loss: 0.646 | Acc: 62.000% 
004  00063 |Loss: 0.643 | Acc: 62.000% 
004  00064 |Loss: 0.640 | Acc: 63.000% 
004  00065 |Loss: 0.638 | Acc: 63.000% 
004  00066 |Loss: 0.651 | Acc: 63.000% 
004  00067 |Loss: 0.652 | Acc: 62.000% 
004  00068 |Loss: 0.660 | Acc: 62.000% 
004  00069 |Loss: 0.662 | Acc: 61.000% 
004  00070 |Loss: 0.659 | Acc: 61.000% 
004  00071 |Loss: 0.664 | Acc: 61.000% 
004  00072 |Loss: 0.668 | Acc: 60.000% 
005  00073 |Loss: 0.662 | Acc: 67.000% 
005  00074 |Loss: 0.657 | Acc: 65.000% 
005  00075 |Loss: 0.673 | Acc: 62.000% 
005  00076 |Loss: 0.669 | Acc: 62.000% 
005  00077 |Loss: 0.663 | Acc: 61.000% 
005  00078 |Loss: 0.656 | Acc: 62.000% 
005  00079 |Loss: 0.651 | Acc: 62.000% 
005  00080 |Loss: 0.647 | Acc: 62.000% 
005  00081 |Loss: 0.644 | Acc: 63.000% 
